Particle ID,Particle Type,f1 Rough Peak Frequency (kHz)_0p8,f1 Rough Peak Frequency (kHz)_1p0,f1 Rough Peak Frequency (kHz)_3p0,f1 Rough Peak Frequency (kHz)_5p0,f1 Rough Peak Frequency (kHz)_7p0,f2 Rough Peak Frequency (kHz)_0p8,f2 Rough Peak Frequency (kHz)_1p0,f2 Rough Peak Frequency (kHz)_3p0,f2 Rough Peak Frequency (kHz)_5p0,f2 Rough Peak Frequency (kHz)_7p0,f3 Rough Peak Frequency (kHz)_0p8,f3 Rough Peak Frequency (kHz)_1p0,f3 Rough Peak Frequency (kHz)_3p0,f3 Rough Peak Frequency (kHz)_5p0,f3 Rough Peak Frequency (kHz)_7p0,f1 Peak Frequency (Hz)_0p8,f1 Peak Frequency (Hz)_1p0,f1 Peak Frequency (Hz)_3p0,f1 Peak Frequency (Hz)_5p0,f1 Peak Frequency (Hz)_7p0,f2 Peak Frequency (Hz)_0p8,f2 Peak Frequency (Hz)_1p0,f2 Peak Frequency (Hz)_3p0,f2 Peak Frequency (Hz)_5p0,f2 Peak Frequency (Hz)_7p0,f3 Peak Frequency (Hz)_0p8,f3 Peak Frequency (Hz)_1p0,f3 Peak Frequency (Hz)_3p0,f3 Peak Frequency (Hz)_5p0,f3 Peak Frequency (Hz)_7p0,f1 Radius (m)_0p8,f1 Radius (m)_1p0,f1 Radius (m)_3p0,f1 Radius (m)_5p0,f1 Radius (m)_7p0,f2 Radius (m)_0p8,f2 Radius (m)_1p0,f2 Radius (m)_3p0,f2 Radius (m)_5p0,f2 Radius (m)_7p0,f3 Radius (m)_0p8,f3 Radius (m)_1p0,f3 Radius (m)_3p0,f3 Radius (m)_5p0,f3 Radius (m)_7p0,Assumed Density (kg m^-3)_0p8,Assumed Density (kg m^-3)_1p0,Assumed Density (kg m^-3)_3p0,Assumed Density (kg m^-3)_5p0,Assumed Density (kg m^-3)_7p0,f1 Mass (kg)_0p8,f1 Mass (kg)_1p0,f1 Mass (kg)_3p0,f1 Mass (kg)_5p0,f1 Mass (kg)_7p0,f2 Mass (kg)_0p8,f2 Mass (kg)_1p0,f2 Mass (kg)_3p0,f2 Mass (kg)_5p0,f2 Mass (kg)_7p0,f3 Mass (kg)_0p8,f3 Mass (kg)_1p0,f3 Mass (kg)_3p0,f3 Mass (kg)_5p0,f3 Mass (kg)_7p0,f1 Damping (Hz)_0p8,f1 Damping (Hz)_1p0,f1 Damping (Hz)_3p0,f1 Damping (Hz)_5p0,f1 Damping (Hz)_7p0,f2 Damping (Hz)_0p8,f2 Damping (Hz)_1p0,f2 Damping (Hz)_3p0,f2 Damping (Hz)_5p0,f2 Damping (Hz)_7p0,f3 Damping (Hz)_0p8,f3 Damping (Hz)_1p0,f3 Damping (Hz)_3p0,f3 Damping (Hz)_5p0,f3 Damping (Hz)_7p0,f1 A Parameter (V^2 Hz^3)_0p8,f1 A Parameter (V^2 Hz^3)_1p0,f1 A Parameter (V^2 Hz^3)_3p0,f1 A Parameter (V^2 Hz^3)_5p0,f1 A Parameter (V^2 Hz^3)_7p0,f2 A Parameter (V^2 Hz^3)_0p8,f2 A Parameter (V^2 Hz^3)_1p0,f2 A Parameter (V^2 Hz^3)_3p0,f2 A Parameter (V^2 Hz^3)_5p0,f2 A Parameter (V^2 Hz^3)_7p0,f3 A Parameter (V^2 Hz^3)_0p8,f3 A Parameter (V^2 Hz^3)_1p0,f3 A Parameter (V^2 Hz^3)_3p0,f3 A Parameter (V^2 Hz^3)_5p0,f3 A Parameter (V^2 Hz^3)_7p0,f1 Conversion Factor (V m^-1)_0p8,f1 Conversion Factor (V m^-1)_1p0,f1 Conversion Factor (V m^-1)_3p0,f1 Conversion Factor (V m^-1)_5p0,f1 Conversion Factor (V m^-1)_7p0,f2 Conversion Factor (V m^-1)_0p8,f2 Conversion Factor (V m^-1)_1p0,f2 Conversion Factor (V m^-1)_3p0,f2 Conversion Factor (V m^-1)_5p0,f2 Conversion Factor (V m^-1)_7p0,f3 Conversion Factor (V m^-1)_0p8,f3 Conversion Factor (V m^-1)_1p0,f3 Conversion Factor (V m^-1)_3p0,f3 Conversion Factor (V m^-1)_5p0,f3 Conversion Factor (V m^-1)_7p0,Mean Voltage (V)_0p8,Mean Voltage (V)_1p0,Mean Voltage (V)_3p0,Mean Voltage (V)_5p0,Mean Voltage (V)_7p0,Minimum Voltage (V)_0p8,Minimum Voltage (V)_1p0,Minimum Voltage (V)_3p0,Minimum Voltage (V)_5p0,Minimum Voltage (V)_7p0,Maximum Voltage (V)_0p8,Maximum Voltage (V)_1p0,Maximum Voltage (V)_3p0,Maximum Voltage (V)_5p0,Maximum Voltage (V)_7p0,f1 Signal_0p8,f1 Signal_1p0,f1 Signal_3p0,f1 Signal_5p0,f1 Signal_7p0,f2 Signal_0p8,f2 Signal_1p0,f2 Signal_3p0,f2 Signal_5p0,f2 Signal_7p0,f3 Signal_0p8,f3 Signal_1p0,f3 Signal_3p0,f3 Signal_5p0,f3 Signal_7p0,Noise Floor_0p8,Noise Floor_1p0,Noise Floor_3p0,Noise Floor_5p0,Noise Floor_7p0,f1 Signal-to-noise Value_0p8,f1 Signal-to-noise Value_1p0,f1 Signal-to-noise Value_3p0,f1 Signal-to-noise Value_5p0,f1 Signal-to-noise Value_7p0,f2 Signal-to-noise Value_0p8,f2 Signal-to-noise Value_1p0,f2 Signal-to-noise Value_3p0,f2 Signal-to-noise Value_5p0,f2 Signal-to-noise Value_7p0,f3 Signal-to-noise Value_0p8,f3 Signal-to-noise Value_1p0,f3 Signal-to-noise Value_3p0,f3 Signal-to-noise Value_5p0,f3 Signal-to-noise Value_7p0
20250904_Particle10,Standard SiNP,86.0,85.5,85.5,85.5,84.5,125.0,125.0,125.0,125.0,134.0,150.0,150.0,150.0,149.0,165.6,85845.0,85850.0,85510.0,85324.0,84847.0,125531.0,125526.0,125037.0,124807.0,134163.0,150422.0,150426.0,149661.0,149317.0,165846.0,1.55e-07,1.39e-07,1.319e-07,1.138e-07,1.278e-07,1.76e-07,2.04e-07,2.12e-07,1.63e-07,8.98e-08,1.81e-07,2.24e-07,1.86e-07,1.67e-07,1.142e-07,1800,1800,1800,1800,1800,2.8e-17,2.01e-17,1.73e-17,1.11e-17,1.57e-17,4.1e-17,6.4e-17,7.2e-17,3.29e-17,5.46e-18,4.5e-17,8.5e-17,4.9e-17,3.52e-17,1.12e-17,780.0,1090.0,3440.0,6640.0,8270.0,690.0,740.0,2140.0,4620.0,11770.0,670.0,674.0,2430.0,4520.0,9260.0,131400000.0,168500000.0,486000000.0,958000000.0,36000000000.0,1753000000.0,2115000000.0,6350000000.0,11750000000.0,14290000000.0,5100000000.0,6030000000.0,18610000000.0,34500000000.0,20330000000.0,24000.0,19400.0,17200.0,13900.0,91000.0,113000.0,149000.0,160000.0,100000.0,28300.0,200000.0,300000.0,212000.0,180000.0,55000.0,0.3633729517459869,0.3643200099468231,0.3651198446750641,0.3648766875267029,0.1896230429410934,0.3510931432247162,0.3519886434078216,0.3458281755447387,0.3290915489196777,0.1590692996978759,0.3740520179271698,0.3755033612251282,0.3844120502471924,0.3976439237594604,0.2610332369804382,6.2094213e-10,5.189684e-10,1.4913437e-10,9.342082e-11,1.8761093e-09,4.360931e-09,6.5178853e-09,2.2173325e-09,8.4955143e-10,8.557617e-11,1.1635972e-08,1.289069e-08,3.4061554e-09,1.810056e-09,2.928126e-10,2.2123636e-13,2.2256415e-13,8.657283e-12,5.0918283e-11,2.1904252e-13,2806.6912,2331.77,17.226463,1.8347205,8565.046,19711.639,29285.422,256.12338,16.684605,390.68292,52595.207,57918.99,393.4439,35.548252,1336.7843
20250904_Particle11,Standard SiNP,95.0,93.0,93.0,93.0,93.0,145.6,143.0,143.0,143.0,143.0,180.8,177.0,176.0,176.0,176.0,95079.0,93483.0,93229.0,93152.0,93086.0,145867.0,143893.0,143482.0,143301.0,143284.0,180916.0,177386.0,176813.0,176581.0,176529.0,2.25e-07,1.49e-07,1.38e-07,1.288e-07,1.144e-07,1.62e-07,1.32e-07,1.33e-07,1.289e-07,1.162e-07,1.49e-07,1.34e-07,1.38e-07,1.196e-07,1.178e-07,1800,1800,1800,1800,1800,8.6e-17,2.51e-17,1.97e-17,1.61e-17,1.13e-17,3.2e-17,1.75e-17,1.77e-17,1.62e-17,1.18e-17,2.5e-17,1.82e-17,2e-17,1.29e-17,1.23e-17,536.0,1010.0,3290.0,5870.0,9250.0,750.0,1140.0,3410.0,5860.0,9100.0,810.0,1130.0,3270.0,6310.0,8970.0,518000000.0,1333000000.0,3950000000.0,6950000000.0,10200000000.0,1294000000.0,2472000000.0,7460000000.0,12600000000.0,19080000000.0,2590000000.0,4740000000.0,14570000000.0,25370000000.0,36700000000.0,100000.0,63000.0,53000.0,48000.0,38700.0,82000.0,68000.0,68000.0,65000.0,55000.0,97000.0,96000.0,104000.0,79000.0,78000.0,0.1884710639715194,0.1719713062047958,0.1729197800159454,0.1732010096311569,0.1737751811742782,0.1789247840642929,0.1613698154687881,0.161802128,0.1630218625068664,0.1636240184307098,0.1977921277284622,0.1817965656518936,0.1820590496063232,0.1825685501098632,0.182908222,5.1308664e-09,2.1040123e-09,1.5501632e-09,9.654985e-10,3.656137e-10,1.2142445e-09,2.0966386e-09,7.363947e-10,5.805947e-10,1.9993884e-10,1.7967384e-09,1.6006404e-09,1.2608133e-09,4.819313e-10,3.6236558e-10,2.1876923e-13,2.1548167e-13,2.1572589e-13,2.156543e-13,2.155607e-13,23453.328,9764.229,7185.801,4477.0654,1696.1056,5550.344,9730.009,3413.5667,2692.247,927.52924,8212.939,7428.1973,5844.5156,2234.74,1681.0374
20250904_Particle12,Standard SiNP,89.9,89.9,84.5,73.5,73.5,136.2,136.0,101.4,110.0,110.0,174.4,174.5,169.5,169.5,169.5,89854.0,90041.0,84520.0,73387.0,73448.0,136220.0,136277.0,101482.0,110329.0,110360.0,174642.0,174716.0,169315.0,169511.0,169342.0,1.63e-07,1.73e-07,3.67e-08,7.85e-08,8.11e-08,1.44e-07,1.88e-07,7.31e-08,8.13e-08,7.74e-08,1.22e-07,1.43e-07,7.84e-08,8.92e-08,8.66e-08,1800,1800,1800,1800,1800,3.2e-17,3.9e-17,3.72e-19,3.65e-18,4.02e-18,2.2e-17,5e-17,2.94e-18,4.05e-18,3.5e-18,1.38e-17,2.22e-17,3.64e-18,5.36e-18,4.9e-18,740.0,880.0,12350.0,9620.0,13040.0,840.0,800.0,6200.0,9290.0,13660.0,990.0,1050.0,5780.0,8470.0,12210.0,486000000.0,590000000.0,36600000000.0,11190000000.0,15020000000.0,1417000000.0,1682000000.0,32800000000.0,52100000000.0,75400000000.0,2141000000.0,2314000000.0,6030000000.0,8600000000.0,11850000000.0,51000.0,56000.0,11500.0,22700.0,23600.0,68000.0,113000.0,43000.0,52000.0,48300.0,60000.0,77000.0,21400.0,25600.0,24000.0,0.1801010221242904,0.1791985034942627,0.1090570986270904,0.1154692769050598,0.1159078776836395,0.1644114404916763,0.1604897528886795,0.068206519,0.088463441,0.1036252453923225,0.1941329091787338,0.1952136904001236,0.1801908314228058,0.1570621281862259,0.1321887373924255,1.7430406e-09,1.6312681e-09,1.4298509e-09,6.6628986e-10,3.2229797e-10,1.8924273e-09,3.3222125e-09,2.3599445e-09,1.3107414e-09,7.6034024e-10,1.1932445e-09,1.7228401e-09,1.6791221e-10,7.6747296e-11,7.528486e-11,3.1987763e-12,7.703251e-12,2.2207217e-13,2.1790688e-13,2.1746033e-13,544.90857,211.7636,6438.677,3057.6816,1482.1001,591.6098,431.27408,10626.926,6015.1445,3496.4548,373.03156,223.65103,756.1155,352.20227,346.20044
20250904_Particle13,Standard SiNP,92.6,92.0,92.0,88.0,88.0,136.2,136.2,136.2,132.0,132.0,169.5,170.0,170.0,162.0,162.0,92709.0,92695.0,92289.0,88575.0,88495.0,136333.0,136165.0,135796.0,132535.0,132428.0,170051.0,169951.0,169381.0,162301.0,162166.0,2.43e-07,2.88e-07,2.82e-07,1.369e-07,1.331e-07,2.12e-07,2.87e-07,3.06e-07,1.53e-07,1.365e-07,1.94e-07,2.68e-07,2.98e-07,1.47e-07,1.389e-07,1800,1800,1800,1800,1800,1.08e-16,1.8e-16,1.69e-16,1.93e-17,1.78e-17,7.2e-17,1.8e-16,2.17e-16,2.71e-17,1.92e-17,5.5e-17,1.46e-16,2e-16,2.41e-17,2.02e-17,500.0,524.0,1610.0,5520.0,7950.0,570.0,530.0,1480.0,4930.0,7750.0,620.0,560.0,1520.0,5130.0,7610.0,167000000.0,190500000.0,578000000.0,1886000000.0,2630000000.0,3180000000.0,3860000000.0,11460000000.0,28510000000.0,41400000000.0,6730000000.0,8160000000.0,24530000000.0,44900000000.0,63800000000.0,66000.0,89000.0,86000.0,28200.0,26600.0,220000.0,400000.0,450000.0,137000.0,111000.0,270000.0,510000.0,620000.0,160000.0,143000.0,0.51547718,0.5144907236099243,0.5103489756584167,0.3665915131568908,0.3661755621433258,0.4965353608131408,0.4969676733016968,0.4937716126441955,0.3444386124610901,0.3441761434078216,0.5304872989654541,0.5299777984619141,0.5241569876670837,0.3803051114082336,0.3801815807819366,1.0608272e-09,1.1801128e-09,9.2775343e-10,1.8042075e-10,1.3148703e-10,7.1816064e-09,1.4385921e-08,6.6187043e-09,1.6562494e-09,1.0961401e-09,8.299565e-09,9.1254915e-09,9.918309e-09,8.5503954e-10,9.580748e-10,2.386218e-13,2.3870416e-13,2.3797208e-13,2.214532e-13,2.2122725e-13,4445.642,4943.83,3898.581,814.71277,594.3528,30096.186,60266.74,27812.945,7479.004,4954.815,34781.25,38229.293,41678.457,3861.0396,4330.727
20250904_Particle14,Standard SiNP,92.0,89.9,89.9,89.9,89.9,135.1,134.0,134.0,134.0,134.0,167.8,164.0,164.0,164.0,164.0,91728.0,89728.0,90072.0,89864.0,89819.0,135264.0,133934.0,134443.0,134369.0,134364.0,167772.0,163995.0,164441.0,164244.0,164200.0,1.49e-07,1.66e-07,1.67e-07,1.512e-07,1.37e-07,2.14e-07,1.74e-07,1.77e-07,1.62e-07,1.541e-07,1.7e-07,1.54e-07,1.69e-07,1.63e-07,1.565e-07,1800,1800,1800,1800,1800,2.5e-17,3.4e-17,3.49e-17,2.61e-17,1.94e-17,7.4e-17,4e-17,4.2e-17,3.18e-17,2.76e-17,3.7e-17,2.7e-17,3.62e-17,3.28e-17,2.89e-17,810.0,910.0,2720.0,4990.0,7720.0,570.0,870.0,2570.0,4670.0,6860.0,710.0,980.0,2690.0,4630.0,6760.0,45700000.0,249400000.0,736000000.0,1225000000.0,1795000000.0,3720000000.0,5610000000.0,17400000000.0,32290000000.0,46400000000.0,7070000000.0,8700000000.0,26000000000.0,44400000000.0,65700000000.0,13000.0,34000.0,33700.0,27800.0,23300.0,240000.0,177000.0,184000.0,163000.0,150000.0,210000.0,171000.0,206000.0,195000.0,184000.0,0.4921615123748779,0.3955337107181549,0.3999859392642975,0.4015591144561767,0.401748776,0.4765100479125976,0.3795022368431091,0.3857244253158569,0.3873147368431091,0.3881947994232178,0.5070034861564636,0.4105206429958343,0.4143651127815246,0.4172832369804382,0.4156157374382019,1.4021757e-10,6.6919975e-10,3.0545186e-10,1.637328e-10,1.5712052e-10,1.2589003e-08,6.183859e-09,1.7408114e-09,2.0300284e-09,1.4449796e-09,6.379786e-09,5.2009406e-09,3.2913896e-09,1.830744e-09,1.2442305e-09,2.4355862e-13,2.215389e-13,2.2056505e-13,2.2078726e-13,2.207611e-13,575.7036,3020.6873,1384.8607,741.5863,711.722,51687.773,27913.197,7892.508,9194.5,6545.445,26194.047,23476.42,14922.535,8291.892,5636.0947
20250904_Particle15,Standard SiNP,88.8,86.6,86.6,86.0,86.0,131.3,129.7,129.0,129.0,129.0,164.0,159.7,159.6,159.6,159.6,88840.0,86640.0,86447.0,86360.0,86228.0,131467.0,129612.0,129508.0,129444.0,129324.0,163880.0,159379.0,159148.0,158988.0,158793.0,6.7e-09,1.69e-07,1.65e-07,1.423e-07,1.288e-07,2.21e-07,1.6e-07,1.75e-07,1.49e-07,1.341e-07,1.86e-07,1.32e-07,1.76e-07,1.54e-07,1.342e-07,1800,1800,1800,1800,1800,2.3e-21,3.6e-17,3.38e-17,2.17e-17,1.61e-17,8.1e-17,3.1e-17,4.1e-17,2.47e-17,1.82e-17,4.8e-17,1.7e-17,4.1e-17,2.76e-17,1.82e-17,17900.0,900.0,2750.0,5310.0,8210.0,547.0,940.0,2590.0,5090.0,7880.0,650.0,1140.0,2580.0,4900.0,7880.0,102000000.0,363000000.0,962000000.0,1781000000.0,2589000000.0,1538000000.0,2781000000.0,7750000000.0,14310000000.0,22280000000.0,5110000000.0,7790000000.0,22080000000.0,40900000000.0,62900000000.0,40.0,42000.0,37800.0,29700.0,24800.0,166000.0,105000.0,121000.0,92000.0,79000.0,210000.0,119000.0,205000.0,167000.0,133000.0,0.4020245969295501,0.3208377361297607,0.323753297,0.3242956697940826,0.3242993056774139,0.389352798,0.3087111115455627,0.3075531125068664,0.3122313618659973,0.3123703002929687,0.4132997989654541,0.3319633305072784,0.3344799876213074,0.3347116112709045,0.3347424864768982,4.7167638e-11,1.385407e-09,3.9333994e-10,3.0276337e-10,1.0982492e-10,4.9610303e-09,4.1067727e-09,2.2803643e-09,6.2887306e-10,6.1847616e-10,9.952413e-09,3.9263806e-09,2.3490359e-09,2.403208e-09,1.4756102e-09,2.2056425e-13,2.3079891e-13,2.3056668e-13,2.306846e-13,2.307653e-13,213.84988,6002.658,1705.9705,1312.4558,475.91608,22492.45,17793.727,9890.26,2726.1162,2680.109,45122.51,17012.127,10188.098,10417.722,6394.4194
20250904_Particle16,Standard SiNP,91.5,91.5,91.0,91.0,91.0,145.5,145.0,145.0,145.0,145.0,178.7,179.0,178.7,178.7,178.7,91368.0,91342.0,91056.0,90977.0,90962.0,145198.0,145125.0,144746.0,144628.0,144665.0,179045.0,179010.0,178467.0,178286.0,178278.0,9.2e-08,1.07e-07,9.36e-08,9.31e-08,9e-08,6.26e-08,7.26e-08,8.71e-08,8.46e-08,8.43e-08,7.9e-08,8.4e-08,9.1e-08,9.44e-08,9.1e-08,1800,1800,1800,1800,1800,5.9e-18,9.2e-18,6.2e-18,6.08e-18,5.49e-18,1.85e-18,2.88e-18,5e-18,4.56e-18,4.52e-18,3.8e-18,4.4e-18,5.7e-18,6.4e-18,5.7e-18,1310.0,1410.0,4840.0,8120.0,11750.0,1930.0,2080.0,5200.0,8930.0,12540.0,1520.0,1800.0,4980.0,8000.0,11620.0,766000000.0,952000000.0,2830000000.0,4740000000.0,6580000000.0,235200000.0,273000000.0,627000000.0,1036000000.0,1500000000.0,1227000000.0,1448000000.0,4070000000.0,6710000000.0,9700000000.0,20400.0,27400.0,20900.0,20700.0,19300.0,5200.0,6800.0,8500.0,8000.0,8100.0,19100.0,20800.0,23700.0,25400.0,23900.0,0.075108849,0.075230658,0.07503026,0.075029425,0.075168118,0.067974925,0.068468988,0.067897722,0.068129316,0.068468988,0.081901558,0.082009636,0.08150012,0.082055949,0.081886113,1.2466457e-09,1.7348325e-09,6.582837e-10,1.7869323e-10,1.2359695e-10,6.4949573e-11,4.8423366e-11,2.2770136e-11,2.0267378e-11,9.201437e-12,2.6489e-10,2.720056e-10,9.626838e-11,6.966714e-11,6.1238924e-11,2.0681924e-13,2.066803e-13,2.0732835e-13,2.0706586e-13,2.0690666e-13,6027.7065,8393.797,3175.0781,862.9777,597.3561,314.04028,234.29115,109.82645,97.8789,44.47144,1280.7803,1316.0695,464.32812,336.4492,295.97366
20250904_Particle17,Standard SiNP,61.0,61.0,67.6,50.7,50.7,81.2,81.2,81.7,67.0,67.0,93.7,93.7,144.4,81.7,81.7,61071.0,61033.0,67376.0,50741.0,50766.0,81262.0,81348.0,81589.0,67141.0,67011.0,93836.0,93655.0,148810.0,81434.0,81373.0,2.29e-07,4e-07,1.45e-07,1.89e-07,1.403e-07,3.26e-07,3.11e-07,1.85e-07,1.65e-07,1.423e-07,3.27e-07,2.22e-07,1.6e-08,1.36e-07,1.396e-07,1800,1800,1800,1800,1800,9.1e-17,4.8e-16,2.32e-17,5.1e-17,2.08e-17,2.6e-16,2.3e-16,4.8e-17,3.41e-17,2.17e-17,2.6e-16,8.2e-17,3.08e-20,1.9e-17,2.05e-17,530.0,380.0,3120.0,3990.0,7530.0,371.0,490.0,2450.0,4570.0,7430.0,370.0,680.0,28400.0,5550.0,7570.0,1203000000.0,1604000000.0,235200000.0,168100000.0,256200000.0,4860000000.0,6880000000.0,82800000.0,291000000.0,405000000.0,10630000000.0,17570000000.0,274000000.0,291000000.0,505000000.0,160000.0,490000.0,14500.0,16100.0,9200.0,640000.0,620000.0,13900.0,16200.0,12000.0,960000.0,510000.0,189.0,11000.0,12900.0,0.6939079761505127,0.6933795213699341,0.3525843918323517,0.3504998981952667,0.3481510877609253,0.6469645500183105,0.6430891752243042,0.3455193936824798,0.3432497680187225,0.3410727679729461,0.7020071744918823,0.7020071744918823,0.3603569865226745,0.35828805,0.355740488,4.4004587e-08,5.309489e-08,2.0586349e-10,1.1132557e-10,3.9128856e-11,6.6813904e-08,5.8892635e-08,6.711764e-11,1.1346252e-10,4.4140098e-11,1.4214602e-07,4.6306678e-08,6.190573e-13,4.140026e-11,4.0348683e-11,1.7153092e-13,1.7585217e-13,2.1819285e-13,2.1876474e-13,2.1907087e-13,256540.25,301929.12,943.4933,508.88257,178.61278,389515.22,334898.53,307.60693,518.6508,201.48776,828690.4,263327.3,2.8372025,189.24559,184.18095
20250904_Particle18,Standard SiNP,91.5,91.5,91.5,91.0,91.0,143.3,143.3,143.3,142.5,142.2,177.6,177.6,177.6,176.0,175.5,91369.0,91584.0,91428.0,91100.0,90989.0,142970.0,143173.0,142907.0,142144.0,142090.0,177205.0,177345.0,176720.0,175537.0,175427.0,1.28e-07,1.65e-07,1.54e-07,1.143e-07,9.89e-08,1.14e-07,1.35e-07,9.4e-08,1.042e-07,9.9e-08,1.08e-07,1.29e-07,5.1e-08,1.059e-07,1.013e-07,1800,1800,1800,1800,1800,1.6e-17,3.4e-17,2.75e-17,1.13e-17,7.3e-18,1.13e-17,1.9e-17,6.3e-18,8.5e-18,7.3e-18,9.4e-18,1.6e-17,1e-18,9e-18,7.8e-18,940.0,920.0,2940.0,6610.0,10700.0,1060.0,1120.0,4810.0,7250.0,10680.0,1120.0,1170.0,8900.0,7130.0,10430.0,706000000.0,752000000.0,2472000000.0,6680000000.0,10420000000.0,347000000.0,382000000.0,1620000000.0,3450000000.0,5090000000.0,1250000000.0,1453000000.0,10400000000.0,15130000000.0,22670000000.0,38000.0,58000.0,53000.0,37100.0,29300.0,21000.0,28000.0,16000.0,22100.0,20500.0,36000.0,50000.0,11900.0,47900.0,45400.0,0.1159338131546974,0.1157928854227066,0.1153979524970054,0.1138683781027793,0.1143773645162582,0.1071763858199119,0.1060647219419479,0.1049993783235549,0.1047677844762802,0.1060338467359542,0.1238204017281532,0.1239130422472953,0.1330533623695373,0.1222764328122139,0.122739628,1.1942548e-09,1.7403905e-09,6.9092937e-10,6.746298e-10,2.5096766e-10,2.214221e-10,2.0542235e-10,4.0018912e-11,5.802923e-11,5.537726e-11,5.239284e-10,5.069605e-10,3.8230665e-11,2.0468534e-10,1.3509815e-10,2.1773914e-13,2.1748524e-13,2.1813129e-13,2.1901288e-13,2.1856751e-13,5484.796,8002.3384,3167.4932,3080.3203,1148.2386,1016.91455,944.53467,183.46251,264.95807,253.36455,2406.2205,2331.011,175.26448,934.5813,618.1072
20250904_Particle19,Standard SiNP,91.0,91.0,91.0,91.0,91.0,143.9,143.9,143.9,143.9,143.9,177.1,177.6,177.6,177.6,177.6,90921.0,90985.0,90947.0,90970.0,90964.0,143706.0,143628.0,143643.0,143657.0,143677.0,177299.0,177271.0,177223.0,177250.0,177192.0,9.7e-08,9.1e-08,9.65e-08,9.55e-08,9.17e-08,7.76e-08,9.2e-08,9.77e-08,9.14e-08,8.73e-08,8.1e-08,9e-08,1.038e-07,9.52e-08,8.88e-08,1800,1800,1800,1800,1800,6.8e-18,5.7e-18,6.8e-18,6.6e-18,5.81e-18,3.5e-18,5.8e-18,7e-18,5.76e-18,5.01e-18,4e-18,5.5e-18,8.4e-18,6.5e-18,5.29e-18,1250.0,1660.0,4700.0,7910.0,11540.0,1560.0,1650.0,4640.0,8260.0,12120.0,1500.0,1680.0,4370.0,7930.0,11900.0,1145000000.0,1274000000.0,3710000000.0,6130000000.0,8590000000.0,311000000.0,373000000.0,1008000000.0,1740000000.0,2507000000.0,1573000000.0,1852000000.0,5340000000.0,9390000000.0,13310000000.0,27000.0,22900.0,25400.0,24800.0,22900.0,9200.0,12600.0,13600.0,12100.0,11200.0,22000.0,27000.0,35300.0,30500.0,26700.0,0.084980987,0.084982976,0.085556261,0.08587414,0.085925996,0.076868206,0.07669837,0.076991722,0.077933542,0.078396738,0.093249753,0.092693925,0.093141675,0.092910081,0.093265191,2.0013482e-09,1.5716777e-09,4.696645e-10,2.6575867e-10,2.3681992e-10,7.209054e-11,1.2942082e-10,5.377544e-11,3.1867693e-11,2.0113968e-11,3.2727976e-10,3.8140524e-10,2.466406e-10,1.7061602e-10,8.2739315e-11,2.0627566e-13,2.0677234e-13,2.067552e-13,2.0707807e-13,2.0680674e-13,9702.3,7601.0054,2271.597,1283.3743,1145.1267,349.48642,625.9097,260.09232,153.89217,97.25973,1586.6135,1844.566,1192.9113,823.9212,400.08035
20250904_Particle20,Standard SiNP,93.2,91.5,91.5,91.5,91.5,140.6,139.5,139.0,139.0,139.0,174.9,171.6,171.1,171.1,171.1,93275.0,91734.0,91667.0,91670.0,91603.0,140782.0,139238.0,139075.0,139018.0,138934.0,174912.0,171605.0,171361.0,171265.0,171131.0,1.75e-07,1.5e-07,1.49e-07,1.312e-07,1.322e-07,1.76e-07,1.36e-07,1.53e-07,1.355e-07,1.297e-07,1.12e-07,1.25e-07,1.47e-07,1.307e-07,1.337e-07,1800,1800,1800,1800,1800,4e-17,2.55e-17,2.47e-17,1.7e-17,1.74e-17,4.1e-17,1.89e-17,2.72e-17,1.87e-17,1.64e-17,1.07e-17,1.47e-17,2.37e-17,1.68e-17,1.8e-17,690.0,1010.0,3050.0,5760.0,8000.0,690.0,1110.0,2950.0,5580.0,8150.0,1070.0,1210.0,3090.0,5780.0,7910.0,331000000.0,983000000.0,2926000000.0,5100000000.0,7190000000.0,1495000000.0,2760000000.0,8210000000.0,14510000000.0,20460000000.0,4290000000.0,7300000000.0,21210000000.0,37800000000.0,52600000000.0,48000.0,55000.0,53000.0,42700.0,43500.0,104000.0,75000.0,95000.0,77000.0,71000.0,72000.0,104000.0,140000.0,115000.0,120000.0,0.2784638702869415,0.245033249,0.2465564757585525,0.2473340481519699,0.247419924,0.267502487,0.2323771119117736,0.2338747531175613,0.2350944876670837,0.2355731278657913,0.2880681753158569,0.256169707,0.2574048936367035,0.2585319876670837,0.2586555182933807,1.1500007e-09,2.2664925e-09,3.9528933e-10,4.3440998e-10,2.5723923e-10,2.1215356e-09,2.027051e-09,1.1639965e-09,7.18225e-10,3.0346842e-10,1.193975e-09,2.6711817e-09,1.3300014e-09,1.1825684e-09,5.0636845e-10,2.1712988e-13,2.1626585e-13,2.1808464e-13,2.193293e-13,2.1903493e-13,5296.372,10480.122,1812.55,1980.629,1174.421,9770.813,9372.959,5337.361,3274.642,1385.4796,5498.898,12351.38,6098.556,5391.748,2311.816
